time;throughput;snd_responsetime;rcv_responsetime
435;1797.0;23.5235914603;13.2445648097
436;1743.0;23.5967843129;13.5769010788
437;1686.0;25.1964289257;13.9610860553
438;1749.0;24.1919089657;13.5722498208
439;1786.0;22.7769144792;13.5235416456
440;1672.0;25.5226549521;13.8787918917
441;1748.0;22.6162114378;13.8697492782
442;1745.0;24.6668741244;14.0005564309
443;1740.0;24.4979372322;13.2966002878
444;1625.0;24.3996856716;15.1047981985
445;1680.0;25.236303915;14.3523671605
446;1072.0;23.9468703846;13.9912582754
447;235.0;219.393209703;125.223158354
448;90.0;334.069006467;162.50975365
449;2.0;3677.020806;3673.612715
450;2.0;3676.745728;3673.130773
451;2.0;3677.508904;3676.287119
452;26.0;3677.74235389;1085.15544953
453;2.0;9913.681303;9910.06197
454;2.0;9913.904655;9912.620097
455;2.0;9913.34398;9911.105741
456;2.0;9913.449381;9913.003967
457;2.0;6333.350752;9913.30872
458;680.0;227.800341537;207.300797998
459;1683.0;23.9166586625;14.5546167332
460;1465.0;28.9144273163;16.1007461138
461;1712.0;24.4279109846;14.1068651888
462;1584.0;26.038231878;15.1488331237
463;1502.0;25.357026544;13.9310616108
464;1474.0;30.0592333;18.7327022835
465;1569.0;26.6961441566;15.331016487
466;1497.0;27.9761365119;15.8017669748
467;1641.0;24.7647363768;14.8904246545
468;1747.0;24.6887031169;13.1606392792
469;1707.0;23.867620175;13.7667134288
470;1727.0;24.919681641;13.8903133434
471;1650.0;24.9315183986;14.5188749396
472;1809.0;24.1308705745;12.8456250025
473;1683.0;25.7932440465;13.7625880009
474;1668.0;23.7570033381;14.8256939711
475;1687.0;24.8695509822;14.2224272544
476;1271.0;33.1021513024;18.4880375946
477;1499.0;28.2502409448;15.5984488538
478;2104.0;20.6801088122;11.0466615168
479;2080.0;20.5932605339;11.3951590252
480;1746.0;23.2445196205;13.391191354
481;1810.0;24.492652033;13.0895662774
482;1687.0;24.0564283919;14.2903145572
483;1697.0;24.1008564119;14.4844617003
484;1745.0;24.1406115651;13.6031380277
485;1768.0;23.7782933445;13.2322257033
486;1788.0;22.341660704;13.9610064471
487;1721.0;23.9860118316;14.2866346489
488;1718.0;24.2241100757;13.3708210827
489;1681.0;27.1556351248;13.5599654696
490;1733.0;24.0839594905;13.7003590789
491;511.0;56.1470181629;42.2793858258
492;197.0;262.401035642;110.655684538
493;26.0;154.364136286;115.345479
494;2.0;7438.515035;7436.555232
495;2.0;9658.47033;1.847792
496;2.0;9666.967184;9659.72393
497;2.0;9655.474912;9661.578668
498;2.0;9666.406168;9664.584216
499;2.0;9667.425421;9664.766632
500;2.0;9668.031175;1.999318
501;2.0;9666.216302;2.362417
502;445.0;882.421544967;156.082615434
503;1634.0;25.152377989;14.7447961691
504;1655.0;25.0049401906;14.0511897907
505;1657.0;26.4251645986;14.6471077364
506;1646.0;25.929401183;14.0958268857
507;1349.0;32.5371690982;16.8689944861
508;1577.0;26.078314073;15.1154359511
509;1595.0;25.4262557109;14.8597070903
510;1663.0;25.7011947459;14.0868012996
511;1659.0;25.6781640072;14.4944107871
512;1596.0;25.6881352983;14.5775114722
513;1594.0;26.6638571295;15.0195746852
514;1722.0;24.9822138873;14.1590605965
515;1620.0;24.4592214442;14.9696613719
516;1626.0;24.4018162727;14.3932038924
517;1725.0;25.6360606333;14.3192999111
518;1611.0;24.4144291825;15.036101594
519;1146.0;37.7230214854;20.9765669818
520;1776.0;23.3887964231;13.609374281
521;1954.0;21.5471284067;12.1476651762
522;1819.0;22.5032407033;13.1082633954
523;1692.0;24.8032462593;14.1958308569
524;1674.0;25.5869606996;14.1482138439
525;1788.0;22.8658395477;13.4556645172
526;1687.0;22.9198009808;14.3951201901
527;1701.0;24.5378339613;14.6879208728
528;1519.0;27.8229421907;15.1145362388
529;1704.0;25.9038099059;13.894009674
530;1776.0;23.0380571379;13.4734203697
531;1276.0;24.7598111564;15.1647828489
532;249.0;192.460819898;92.4136677826
533;10.0;217.031463;145.906197667
534;2.0;6375.119951;6402.57936
535;2.0;6375.49021;6401.20757
536;2.0;6375.65673;6205.171598
537;2.0;6376.770018;6399.673462
538;2.0;6376.376354;6206.73593
539;31.0;6375.54837829;3156.76149575
540;2.0;3440.851995;9596.891657
541;2.0;3439.979555;3439.268705
542;507.0;333.516455041;127.844930183
543;1703.0;24.4925586632;13.970368823
544;1686.0;25.922367672;13.6977199106
545;1739.0;24.0652363813;13.7271950224
546;1671.0;25.020841475;13.4306245086
547;1723.0;24.9960096073;14.1272005808
548;1736.0;24.6077637096;13.5220158648
549;1641.0;26.8050887345;13.7743225362
550;1674.0;25.172272222;14.3376061715
551;1655.0;24.9805633022;14.3669593255
552;1740.0;24.3131896828;13.7810570819
