time;throughput;snd_responsetime;rcv_responsetime
355;1663.0;26.1092379513;13.7424217556
356;1749.0;24.5948954162;13.5431514655
357;1588.0;26.2835491916;14.4275458931
358;1711.0;26.6408104073;13.6840632274
359;1724.0;23.876510554;13.7628455504
360;1728.0;24.9548055563;13.8473410026
361;1641.0;26.2834884882;14.2986853636
362;1670.0;24.5780469097;14.4117680654
363;1686.0;25.8852629752;13.8441404612
364;1747.0;23.4015239707;13.7880779125
365;1686.0;25.3028868602;14.2351310479
366;1625.0;26.378099704;13.7065549047
367;1637.0;26.6077648464;15.0294891394
368;1704.0;24.7992354601;13.403694008
369;1646.0;27.0023156178;14.5427293722
370;1747.0;24.7365860223;13.293621822
371;1636.0;25.9424729471;14.2417374154
372;1691.0;23.9259249272;14.8260013103
373;1634.0;26.339086221;14.4091911558
374;1670.0;25.1116034371;14.1067354515
375;1731.0;24.6553827418;13.6906180061
376;1606.0;24.7704382385;15.6184304515
377;1693.0;24.3764998434;14.0098905146
378;1323.0;29.2764724955;19.5381809205
379;1705.0;25.3213708375;13.8238846471
380;1597.0;27.6523486792;14.3120032277
381;1363.0;31.8264811026;16.7905705006
382;2028.0;21.269850107;11.6716064851
383;1994.0;21.4762967255;11.7507191037
384;1805.0;23.2352793817;13.2991044324
385;1726.0;25.2056058098;13.4496174883
386;1685.0;25.4141483327;13.7930906393
387;1767.0;25.4424652772;12.8482926684
388;1706.0;24.6726828351;14.1834714111
389;1795.0;23.4799634367;13.0384409925
390;1701.0;24.276797696;14.2925854099
391;1720.0;23.8771018504;13.6350126943
392;1754.0;25.0619025034;13.7379435691
393;1696.0;25.3704723088;13.7246563677
394;1733.0;24.8100768778;13.609509381
395;1733.0;25.7712389983;12.9565727417
396;1647.0;26.3357151031;14.0601335548
397;1723.0;25.2072575314;13.4144390644
398;1609.0;25.8931259154;15.0744962228
399;1691.0;24.0795419788;14.510114395
400;1380.0;31.2695189805;16.4513491187
401;1629.0;25.6614140037;15.0716989926
402;1738.0;24.3395289499;13.5466427256
403;1865.0;23.4411781843;12.5115590346
404;1646.0;25.5723299744;13.8587996509
405;1743.0;25.0641732704;13.8753564005
406;1691.0;23.2960869509;14.9185316994
407;1687.0;26.3537668877;13.6002163135
408;1683.0;24.9036457478;13.3232800735
409;1760.0;25.7224378647;13.3075587815
410;1712.0;24.3245223888;13.6483604435
411;1079.0;48.6867675376;17.7955640306
412;182.0;255.054036567;99.410057459
413;55.0;700.71752552;102.5324576
414;406.0;79.7982058788;115.728254522
415;1674.0;24.9312117428;14.3624603104
416;1673.0;25.8559256078;13.8728237509
417;1704.0;25.5660422642;13.6352251781
418;1661.0;25.1749141609;14.4187928005
419;1660.0;23.9867188313;15.0710924348
420;1632.0;26.0849701766;14.5675855329
421;1743.0;23.7304195788;13.7314066764
422;1623.0;25.8460615157;14.8764961352
423;1647.0;25.4607200236;14.5153877366
424;1614.0;26.7923244347;14.5470310148
425;1720.0;25.0030492907;13.5198227741
426;1602.0;25.3053190545;15.4053961093
427;1696.0;24.3512585009;14.2797539478
428;1718.0;24.9113398086;13.6342861336
429;1630.0;25.9862187458;14.6939156279
430;1626.0;25.6849040185;14.6541435766
431;1722.0;24.5062012065;13.8177331411
432;1675.0;25.719690415;13.6556972957
433;1632.0;26.6971066556;14.4907376346
434;1640.0;25.4959371216;14.6684656758
435;1756.0;24.6408617019;13.3542204166
436;1658.0;24.8531075342;14.6150488457
437;1660.0;26.5065746383;13.8110254878
438;1642.0;25.363797567;14.7043186248
439;1689.0;25.9642401676;13.6074751569
440;1668.0;24.6967424647;14.4882877085
441;1530.0;25.644159577;15.4242810678
442;1721.0;23.7566429442;15.2869622979
443;1367.0;28.4904181206;18.0745235313
444;1632.0;27.3030292059;14.4827607316
445;1674.0;25.8775576313;13.6949547683
446;1714.0;24.2259974406;14.2271172233
447;1576.0;27.8707303428;14.5409645105
448;1675.0;26.781717941;13.4613775672
449;1558.0;25.320529739;15.1270863828
450;1634.0;26.1214549307;15.2976033886
451;1415.0;30.5160559362;16.5353655206
452;1984.0;21.5243975008;11.9165053876
453;1989.0;21.2977577149;11.8776221146
454;1826.0;22.9798551505;12.9540934661
455;1791.0;23.672704239;13.4286992182
456;1765.0;23.6729175522;13.6324696234
457;1717.0;24.2460230968;13.8151320827
458;1722.0;25.8425381061;13.4997779468
459;1664.0;25.8494635755;13.980312991
460;1490.0;27.9221188984;15.334854499
461;1466.0;29.4576407862;16.8594796461
462;1842.0;24.1628520615;12.2389280719
463;1891.0;22.8408535394;11.8972846245
464;1828.0;24.407599359;12.7899107586
465;1716.0;25.8068718579;13.2392984625
466;1799.0;24.3230349585;12.8263230811
467;1790.0;25.2981800532;12.4694780648
468;1863.0;23.7583196153;12.0914635581
469;1763.0;24.2212773912;13.3270163624
470;1777.0;24.9289126831;13.0641034364
471;1657.0;26.3225214721;13.6912392241
472;1679.0;24.6807008369;14.5958130972
473;1670.0;24.2468654991;14.5124413399
474;1690.0;25.2625547895;13.3826341375
475;1706.0;24.6750198096;14.4256754091
476;1670.0;26.522812288;13.9889860657
477;1725.0;25.2551652763;13.1321891169
478;1236.0;30.3975809856;21.2164201476
479;1837.0;23.2662175171;12.9258279698
480;1389.0;25.9479607208;15.5380391802
481;156.0;165.560468038;142.578818583
482;113.0;396.973538256;190.377595027
483;180.0;221.25360145;222.9652958
484;1655.0;23.7020926782;15.9199985262
485;1663.0;25.9877663298;13.7386594846
486;1723.0;24.9174963472;13.6854483958
487;1678.0;26.0501623262;13.7074603357
488;1634.0;26.0819650881;14.3606359137
489;1632.0;26.672287046;14.1728548116
490;1764.0;24.344059264;13.1520506215
491;1621.0;25.6564448346;14.2759992358
492;1737.0;23.4783555665;14.6563801762
493;1669.0;25.9449019749;14.0417776751
494;1705.0;25.8651309718;13.2311314192
495;1582.0;24.7563200112;15.5046025773
496;1691.0;24.0687043096;15.1962121825
497;1687.0;25.0911410108;13.7408516823
498;1712.0;24.9311846414;14.1586299647
499;1599.0;25.1684501309;14.538960611
500;1765.0;26.06894711;13.2655180221
501;1684.0;25.2387050353;13.4282812156
502;1639.0;25.8956422747;15.0506922104
503;1689.0;25.5653784821;13.837443612
504;1577.0;24.6504364625;15.3028395494
505;1688.0;26.6547243226;14.0280910735
506;1628.0;24.7099764037;15.3094928329
507;1717.0;23.6696487611;14.3802745356
508;1584.0;26.4446792068;14.8353072367
509;1642.0;25.5020914299;13.9445464126
510;1659.0;26.6251258921;14.5736282167
511;1611.0;25.14775059;15.2697951912
512;1585.0;26.0407655958;15.4042412883
513;1402.0;28.9830853948;17.5694037585
514;1543.0;26.3971949324;15.1396776624
515;1665.0;26.9769745198;14.141838495
516;1680.0;24.8701522607;14.2706497437
517;1622.0;25.5420167301;14.8492200981
518;1584.0;26.5069964467;15.0301169571
519;1647.0;25.796759115;14.3826234722
520;1090.0;38.4650469091;20.2650823343
521;1054.0;44.2632739407;22.21385989
522;2240.0;20.0390950334;10.0684896459
523;2015.0;22.3810635348;11.2608847433
524;1854.0;23.9482313654;12.0182834005
525;1821.0;24.381943;12.690572545
526;1735.0;23.8526724234;13.1097376967
527;1790.0;24.2406229983;13.7369952184
528;1727.0;23.6986107279;13.6242531452
529;1807.0;23.4892137255;13.5852008778
530;1696.0;25.8332991022;13.3356889938
531;1789.0;23.9689485691;13.1790724242
532;1745.0;24.9705089639;13.4255634583
533;1777.0;23.3378124521;13.5055388629
534;1771.0;24.2614230266;12.6808856453
535;1773.0;24.002428089;13.8947960606
536;1759.0;24.3078319091;13.2883371862
537;1617.0;25.7517796266;14.2399259665
538;1776.0;25.6609732782;13.1391481319
539;1677.0;26.5808009555;13.5744233202
540;1754.0;24.5441482924;13.194773352
541;1652.0;27.1037399061;13.6332210401
542;1733.0;25.2629271263;13.3318630649
543;1335.0;25.3324184257;13.7438320236
544;1352.0;44.2132494238;18.1304670979
545;1700.0;24.8314272162;14.1217041123
546;1662.0;25.1652253736;14.253657602
547;1744.0;25.7363158814;13.1092356308
548;1248.0;25.2457702286;14.6623984094
549;540.0;120.162940045;43.3518174266
550;1348.0;24.4954900618;13.2309919777
551;366.0;97.4793470488;93.3739266543
552;128.0;208.674694432;256.579100747
553;1610.0;27.9398283863;15.0116862432
554;1696.0;23.5147292845;14.7925557991
555;1609.0;25.8604573604;14.6866305609
556;1675.0;25.3744869601;14.410619008
557;1648.0;25.930901461;14.3168355816
558;1694.0;24.6334348627;14.1374524591
559;1619.0;26.3233997323;14.4292102303
560;1670.0;25.4972359557;13.6256776673
561;1604.0;27.8576422727;14.9768043541
562;1717.0;25.2662326719;13.4763489632
563;1651.0;25.4492818845;14.2468764521
564;1615.0;26.3955198508;14.4206410103
565;1676.0;23.9923671613;14.9742704106
566;1724.0;24.5746315423;13.8989353503
567;1596.0;25.7646036011;14.440127018
568;1598.0;25.2851314256;15.5058885773
569;1675.0;24.8776084622;15.0490184343
570;1619.0;27.1886062279;14.0172714233
571;1742.0;24.3172762919;13.7635708598
572;1584.0;26.6799385478;14.8167514548
573;1618.0;25.9615547364;14.0151550896
574;1551.0;29.001962738;14.9253560126
575;1656.0;26.3732893002;14.3514348305
576;1704.0;24.6320895813;14.0507102337
577;1759.0;23.8310228061;13.7605779923
578;1552.0;25.7347874286;15.2448600058
579;1682.0;25.8326847725;14.5781886215
580;1538.0;26.7804262172;15.6810159942
581;1690.0;24.638345103;14.2732839166
582;1738.0;24.3233483702;13.541776481
583;1670.0;24.5276632324;13.3695688152
584;1592.0;29.8362985564;14.6027887113
585;1597.0;24.6395086004;15.2603500263
586;1780.0;24.3932062891;13.5788990785
587;1681.0;24.8749795313;14.3894017585
588;1391.0;31.4191983966;16.6426196667
589;2070.0;20.6223461974;11.3804794352
590;2026.0;21.1069087982;11.6390453935
591;1827.0;23.7392025472;12.7487103751
592;1784.0;23.8478157753;13.2507897315
593;1700.0;24.4277681162;14.188465621
594;1746.0;23.8374327547;13.9021032365
595;1768.0;24.1846521639;13.2810858282
596;1680.0;23.724723633;13.9487527769
597;1847.0;24.4477374416;12.8353806929
598;1791.0;23.783728837;13.2037063135
599;1720.0;23.7086066425;14.1928419351
600;1729.0;24.078575913;13.0808130563
601;1816.0;24.0113454444;13.6624513264
602;1638.0;25.6830150772;13.7468231517
603;1737.0;25.1724953813;13.9539207552
604;1729.0;25.2755445906;13.5900431775
605;1660.0;24.7765215674;14.6084548394
606;1725.0;24.0109568561;13.773744819
607;1672.0;26.0289664651;13.8930011536
608;1667.0;26.2493512178;13.4861295305
609;687.0;80.5280484113;26.4179618443
610;1682.0;24.2505744476;14.4601861206
611;1630.0;25.0953578132;15.0372095461
612;1616.0;26.9200117397;14.3567988567
613;1644.0;25.807565388;14.2611395434
614;1724.0;25.0616100865;13.2689656492
615;1656.0;25.3615513266;14.8705648371
616;1653.0;25.592105625;14.3921640627
617;1707.0;26.2621103392;13.2209976176
618;1606.0;26.2613789314;14.8896074105
619;16.0;240.107437333;23.0337066154
620;152.0;492.163747774;331.275496828
621;1648.0;25.6843464799;14.45112745
622;1619.0;25.5021833848;15.0430835615
623;1712.0;24.405044711;13.9826626564
624;443.0;37.2395886821;22.8384017158
625;1349.0;54.0385518319;25.7585939387
626;1689.0;24.3583319397;14.4570598009
627;1623.0;26.6615092844;14.2555530751
628;1709.0;24.8916334574;13.7655915758
629;1624.0;25.6717941929;14.7585147604
630;1619.0;27.1883658303;13.9897079025
631;1604.0;26.04154;15.1103946592
632;1639.0;25.5381640165;14.8045017836
633;1618.0;25.2248112063;15.0842125888
634;1702.0;24.4051594566;14.0521116376
635;1616.0;24.5758850037;15.6320306908
636;1619.0;25.8592874265;14.7234211628
637;1599.0;26.2480700076;14.108372543
638;1642.0;27.1436781457;14.7060508984
639;1537.0;28.1276253686;14.9321723311
640;1555.0;28.6038809771;14.6429613934
641;1691.0;24.6594378796;13.810575706
642;1749.0;25.4508145976;13.6032788735
643;1847.0;23.6573826087;12.4589664527
644;1728.0;25.1638659809;13.435235212
645;1705.0;24.6676012766;13.3281730903
646;1744.0;25.8849277877;13.5922203026
647;1736.0;24.3305891054;12.9411129326
648;1705.0;24.9999649718;13.8144235814
649;1774.0;24.9423417881;13.608288163
650;1671.0;25.270299169;14.3055707827
651;1729.0;25.20078688;13.1075300355
652;1689.0;25.7351094947;13.7071121957
653;1740.0;25.5953347674;13.2838205387
654;1325.0;35.4031476045;16.2358659593
655;1652.0;25.9325731744;13.9601845239
656;1667.0;23.871143119;14.8986309242
657;1653.0;26.5690658402;14.0083245867
658;1724.0;25.011355986;13.7802925691
659;1492.0;28.5426776546;14.594607492
660;1598.0;28.426142235;14.9921510535
661;2155.0;20.3364525243;10.6714326435
662;2063.0;20.6462896127;11.0172772305
663;1792.0;24.0771990805;13.3281999699
